jawa,indonesia
gondhok (ta),bengkak pada kelenjar di leher
gondhol (tk),bawa lari/gonggong
gondhong (ta),bengkak pada leher
gori  (ta),nangka muda
gosong (ts),hangus
gothot (ts),berotot
gotong (tk),angkat
gowang (ts),"berlubang pada tepi (gigi, pisau)"
grabah (ta),perlengkapan rumah dari tanah liat
gragal (ta),kerikil besar
gragapan (tkr),dalam keadaan belum sepenuhnya terjaga dari tidur
grahana (ta),gerhana
grana (ta),hidung
grapyak (ts),ramah
grenengan (tk),berbicara dengan suara rendah
gr�s�k (tk),mencari di antara sisa-sisa
gringgingen (ts),kesemutan
gringsing (tg),jenis kain/tenunan
griya (ta),rumah
grudhal (ta),kotoran gigi
grudug (tk),pergi/ datang dalam jumlah besar
gruwung (ts),berlubang
gudheg  (ta),masakan terbuat dari nangka muda
gudig (ta),kudis
gudir (ta),agar-agar
gugah (tk),bangunkan
gugu (tk),percaya
gugur  (tk),mati di medan perang
guling (ta),guling
gulu (ta),leher
gulung (tk),gulung
gumpil (tk),runtuh (tanah)
gumuk (ta),bukit kecil
gumyak (kr)),ramai; ceria
gundhul  (ts),tidak berambut
gundhul (ta),kepala
gurah (ta),nama tanaman
gurah (tk),membersihkan saluran pernafasan menggunakan getah tanaman gurah
gusah (tk),halau
guwa (ta),gua
guyon (tk),gurau
guyub (ts),rukun damai
gya (tkr),segera
hara (tpw),coba
hastha (tw),delapan
hayo (tpw),hayo
iba (tsb),betapa
iber� (ta),terbang
ibu (ta),ibu
ical; ical (ts),hilang
idep (ta),bulu mata
ider (tk),berjualan berkeliling
idhep-idhep (tsb),sekalian; hitung-hitung
idhi (ta),izin
idu (ta),ludah
iga (ta),tulang belikat
iguh (ta),upaya; cara
ijem; ijem (ts),hijau
ijir (tk),berhitung
ijo (ts),hijau
ijol (tk),tukar
iket (ta),ikat kepala
iki (tg),ini
iku (tg),itu
ila-ila (ta),kepercayaan; pantangan
ilat (ta),lidah
iler (ta),air liur
iler (ta),liur
ili (ta),"aliran (air, darah, dsb.)"
imbal (tsb),berselang-seling; saling
imbu (tk),peram
imbuh (tk),tambah; bonus
iming-iming (ta),hadiah yang dijanjikan
imp�n (ta),mimpi; impian
ina (ts),hina
ing (tpr),di
inger (tk),geser dengan sedikit mengubah arah
ingklik (ta),bunga singkong
ingklik (tkr),cepat-cepat berlalu; berjalan cepat
ingkung (ta),ayam panggang utuh
ingon-ingon (ta),hewan peliharaan
ingsun (tg),saya
ingu (tk),memelihara (hewan)
inuman (ta),minuman
ireng (ts),hitam
iring (tk),iring
iringan (tkr),samping
isep,hisap
isih (tkr),masih
"isin (ta, ts)",malu
isis (ts),sejuk terkena semilir angin
itil,klitoris
iwak (ta),ikan
jabang (ta),bayi
jabel (tk),cabut kembali
jabut (tk),cabut
jadah (ta),nama jajanan dari ketan
ja� (ta),jahe
jaga (tk),jaga
jagabaya (ta),petugas keamanan desa
jagad (ta),dunia
jagal (ta),tukang potong hewan ternak
jagang (ta),"penopang, standar"
jail (ts),jahil
jajah (tk),menguasai wilayah  negara lain
jajah (ts),telah bepergian ke berbagai pelosok
jajal (tk),coba
jajan (ta),makanan ringan
jaka (ts),jejaka
jala (ta),jala
jaladri (ta),lautan
jalak (ta),nama burung
jalaran (ta),penyebab
jaler; jaler (ts),laki-laki
jalma (ta),manusia
jalu (ta),taji
jaluk (tk),minta
jaman (ta),jaman
jamas  (tk),keramas
jambak (tk),tarik rambut
jamban (ta),peturasan; kamar mandi
jamb� (ta),pinang (tanaman)
jambul (ta),jambul
jamu (ta),obat tradisional jawa
jan (tpw),sungguh-sungguh
jangan (ta),sayur
jangar (ts),rasa sakit dan panas di kepala
jangga (ta),leher
janggel (ta),tongkol jagung
janggut (ta),dagu
jangka (ta),jangka; ramalan
jangkar (tk),"memanggil nama, tanpa sebutan penghormatan"
janma (ta),manusia
japa (ta),mantra
jarak (tk),cari perkara
jaran (ta),kuda
jarang (ta),air panas
jar� (tk),katanya
jarem (ts),tuam
jarik (ta),kain panjang
jarit (ta),kain panjang
jark� (tk),biarkan
jarwa (tk),"cerita, terjemah"
jatah (ta),jatah
jathilan(ta),tarian kuda kepang
jatukrama(ta),jodoh
jawa (ta),jawa
jawa (ts),bertanggung jawab; tahu kewajibannya
"jawah; jawah (tk,ta)",hujan
jawat (tk),"ganggu, godha (antara pria dan wanita)"
jawata (ta),dewa
jawi (ta),jawa
jawil (tk),senggol
jaya (ts),jaya
j�b�ng (ta),panggilan untuk bayi
jegog (tk),salak (anjing)
jegur (tk),terjun ke dalam air
jejeg (tk),tendang
jejeg (ts),tegak
jejer (ta),"adegan dalam pagelaran wayang yang menggambarkan pertemuan raja, para punggawa serta keluarga istana"
j�j�r (ts),"bersanding, bersebelahan"
jejuluk,"panggilan, sebutan"
jelih (tk),teriak
jembar (ts),luas
jembrak (ts),rambut yang gondrong dan berdiri
j�mbr�ng (tk),"buka lebar (untuk kain, kertas, dsb.)"
jembut (ta),rambut kemaluan
jembut,rambut kelamin perempuan
jempalik (tk),terguling ke arah berlawanan
jempol (ta),ibu jari
jemuwah (ta),jumat
jenang (ta),bubur halus
jenar (ts),merah; kuning emas
jenat� (ts),Almarhum
jen� (ta),kuning
jeneng (ta),nama
jenggong (tk),salak (anjing)
jengkar (tk),"pindah, meninggalkan tempat"
j�ngk�l (ta),jengkel
jengking (tk),tungging
jengkol (ta),jering
jenthik (ta),kelingking
jepit (tk),jepit
jeplak (tk),membuka dengan cepat
jeram (ta),jeruk
j�r�ng (ts),juling
jerit (tk),jerit
jero (ts),dalam
jerohan (ta),isi perut
jeruk (ta),limau
jethungan (tk),petak umpet
j�w�r (tk),ditarik telinganya
jimat (ta),jimat
jirih (ts),penakut
jiwa (ta),jiwa
jiwit (tk),cubit
jl�ntr�h (tk),jelaskan
jodho (ta),jodoh
jojoh (tk),cucuk dengan benda tajam
jomplang (ts),tidak setimbang
jorok (tk),dorong sampai jatuh
jothak (tk),seteru
juju (tk),suap langsung ke dalam paruh
jujug (tk),langsung menuju
jujul (ta),kembalian
jujur (ts),jujur
jujur (ts),lurus
julungpujut (tg),nama wuku dalam penanggalan jawa
julungwangi (tg),nama wuku dalam penanggalan jawa
jumadilakir (tg),nama bulan dalam penanggalan jawa
jumadilawal (tg),nama bulan dalam penanggalan jawa
jumantara (ta),angkasa
jumawa (ts),angkuh
jumbuh (ts),"bertemu, cocok (untuk pendapat, pemikiran)"
jumpalitan (tk),berguling-guling (koprol)
jungkat (ta),sisir
jupuk (tk),ambil
juragan (ta),majikan
juragan (ta),majikan
juw�h (ts),suka memberikan komentar tentang urusan orang lain
Kabeh,semua
Kacu,sapu tangan
Kacuk,kemaluan laki laki
Kacung,pelayan
Kademen,kedinginan
Kadingaren,tumben
Kadipaten,kadipaten
Kadohan,kejauhan
Kakehan,kebanyakan
Kambil,kelapa
Kampleng,pukul
Kampul2,mengambang
Kampung,kampung
Kana,sana
Kanca,teman/kawan
Kanda,bilang/mengatakan
Kandang,kandang
Kapok,kapok /tidak mau mengulangi
Kapuk,kapas
Kasep,terlambat
Kasur,kasur
Kathok,celana
Kawat,kawat
Kebak,penuh
Kecelek,tertipu/terlambat tidak mendapatkan apa apa
Kecik,biji
Kemaki,belagu ( laki-laki )
Kemayu,genit ( perempuan)
Kembang,bunga
Kembar,kembar
Kembung,kembung
Kemingkel,terbahak
Kemu,kumur
Kena,kena
Kenceng,banter
Kendel,berani
Kendi,kendi
Kendil,periuk nasi dari tanah
Kendo,longgar/kurang kuat/rapat
Kene,sini
Kenthir,gila
Kenthongan,kentongan
Kenthu,bersetubuh
Keplok,tepuk tangan
Kerdus,kardus
Kere,kere/gembel
Kerek,kerek
Keri,ketinggalan
Keselak,tersedak
Kethak,jitak
Kikir,kikir
Kisruh,kisruh
Kiwa,kiri
Klambi,baju kemeja
Klapa,kelapa
Klebon,kemasukan
Klebu,masuk
Klilip,kelilipan
Kluwih,nangka sayur
Kobong,terbakar
Kocak,kocak
Kodok,katak
Kolak,kolak
Konangan,ketahuan
Kondang,terkenal
Konthol,Penis
Koplok,pukul
Kopong,"tidak ada isinya, kosong"
Kosok Balen,sebaliknya
Kosokan,gosokan
Kothak,kotak
Krama,"bahasa jawa halus, kawin"
Kramas,keramas
Kramat,keramat
Kucing,kucing
Kudu,harus
Kudung,kerudung
Kulit,kulit
Kulu,tetelan
Kumat,kambuh
Kumu,kumur
Kuna,kuno
Kura,kura-kura
Kutha,kota
Kuwat,kuat
Kuwi,itu
Labuh,berlabuh
Ladrang,istilah dalam seni karawitan
Laku,perjalanan hidup/cobaan yang harus dilalui
Lalen,pelupa/gampang lupa
Laler,Lalat
Lali,lupa
Lambaran,dasar/alas
Lambe,bibir
Lamur,kabur (pandangan)
Lanang,laki-laki
Lancang,lancang
Landep,tajam
Lapangan,tanah lapangan/lapangan sepak bola
Lara,sakit
Laras,laras
Laris,laris
Latar,halaman
Lawa,kelelawar
Legi,manis
Lelakon,cerita hidup
Lelayu,berita kematian
Lemah,tanah
Lemes,lemas
Lempung,tanah liat
Lemu,gemuk
Lemut,nyamuk
Lenga,minyak
Lengen,lengan
Lenggah,duduk
Lesehan,lesehan
Lesus,angin lesus
Lima,lima
Limpung,ubi goring
Lindu,gempa bumi
Linggih,duduk
Lintang,bintang
Lintu,tukar
Lirih,pelan
Liya,lain
Liyane,yang lain
Lobok,kebesaran/kegedean
Loji,rumah besar bertingkat
Loma,murah hati/dermawan
Lombok,cabe/lombok
Londo,belanda/orang barat
Lor,utara
Loro,dua
Luber,meluap
Lugu,lucu
Lumantar,melalui sesuatu
Lumrah,wajar
Lunga,pergi
Lungguh,duduk
Lurah,lurah
Luwe,lapar
Luwih,lebih
Mabur,Terbang
Macet,Macet
Madang,Makan Nasi
Magglek,Sedap/Kaw!
Malah,Malah
Malang,Melintang
Males,Malas
Mambang,Terapung
Mambu,Bau
Mampang,Marah-marah
Mampir,Singgah
Manak,Beranak
Mancah,Menebas
Mancur,Memancut
Mandek,Berhenti
Mandhan,Agak
Mandhi,Mujarab
Mandleb,Termasuk(Leher)
Mangan,Makan
Mangap,Nganga
Manggat-Manggut,Terangguk-angguk
Mangkakkei,Sebenarnya
Mangkali,Beri Pangkal
Mantu,Menantu
Manuk,Burung
Mari,Senang/Sembuh
Maring,Pergi
Masang,Memasang
Masem,Masam
Maslup,Termasuk
Mateng,Masak
Matoh,Patuh/Ketagih
Matok,Memberi tanda ataupun jejak
Mayar,Senang
Mayit,Mayat
Mbanget,Sangat
Mbecek,Menyumbang(Wang)
Mbelayu; mlayu,Lari
mbyar (tk),berserakan
Medakie,Bedakkan
Medeng,Sedang/Muat
Medhii; memedhi,Hantu
Megar,Kembang Mekar
Mekakat,Batasan/Had
Melaku,Berjalan
Melaku,Berjalan
Melas,Kasihan
Melayu,Lari
Melebu,Masuk
Melek,Celik
Melento,Melentur
Melorot,Melorot
Melotas,Luka/Melecet
Melu,Ikut
Melukok,Loya
Men; min,Biar
Menceng,Senget/Herot
Menclok,Hinggap
Mencong,Senget/Tak Tegak
Mendak,Berikutnya
Mendek,Merendah
Mendhelik,Terbeliak
Meneh,Lagi
Menek,Panjat
Meneri,Kebetulan
Menggok,Belok
Mengko,Nanti
Mengo,menengok;Bersuara
Mengung,Bingung/Gila
Menining,Bengkak Sangat
Menjeng,Miang
Menjep,Masam Muka
Mennekhei,Agaknya
Mennyat,Bangun
Menowo,Agaknya
Mentas,Bangkit Dari Air
Mentong,Makan Kali Kedua
Mentu,Keluar
Merat,Berambus
Merayo,Merayau
Merem,Pejam
Merene,Ke Sini
Merengut,Masam Muka/Merungut
Meres,Perah
Meriang,Demam
Merie,Cemburu
Merindhing,Bulu Roma Naik
Meripat,Mata
Merono,Ke Sana
Merot,Mulut tidak sempurna
Mesem,Senyum
Meteng,Mengandung
Methang,Minum Di Warung
Meto-meto,Marah-marah
Mettottok,Cangkung(Tak Sopan)
Mettuttuk,Selonggok
Metuntung,Bengkak/Membusung
micek,Tidur (kasar)
Midun,Turun
Mili,Mengalir
Milu,Ikut
Mimpes,Kempis
Minggat,Lari Dari Rumah
Mingkem,Katup(Mulut)
Mithek,Memijak
Mitoni,Memperingati tujuh hari bayi
Miwik-miwik,Penuh Sangat (Air)
Modhar; modar;modiar,Mati
Momrot,parah
Mondok,Belajar Di Sekolah Pondok
Mowo,Bara
Mubeng,Pusing
Muganei,Sebab
Mulak-mulek,Loya
Mulane,Sebab
Mumet,Pening
Munggah,Naik
Munuh,Mengalah
Munyer,Pening
Mupu,Angkat(Anak)
Murup,Menyala
Muyang Patek,Cari Bala
Muyer,Pening
Muyi,Melihat Bayi Baru Lahir
Nabok,Tampar
Nambani,Rawat/Obati
Nandho,Menyimpan
Nandur,Tanam
Nawani,Menawarkan
Ndablek,Keras Kepala
Ndekek,Menaruh
Ndekok,Tidur
Ndhodhok,Jongkok
Ndhuwur,Atas
Ndublek,Keras Kepala
Nembei,Akhir
Nembung,Minta Izin
Nemen,Terlalu
Nesu,Marah
Ngabani,Amaran/Sapa
ngaceng,ereksi; terangsang
Ngagir,Baring
Ngajak,Mengajak
nganti/ngasi,Sampai/Beberapa
Ngarep,Depan
Ngawe;Ngawakai; ngawekani,Sapa/Tegur/Layan
Ngayap,Merayap
Ngedok,Berhenti Rehat/Cuti
Ngeduk,Menggali
Ngelak,Haus/Dahaga
Ngelakoni,Melakukan
Ngelangi,Berenang
Ngelenceir,Makan Angin
Ngeliep,Tidur Ayam
Ngembor,Melaung
Ngemut,Mengulum
Ngemut,Mengulum
Ngencis,Air Liur Basi
Ngendangi,Melihat-lihat
Ngendep,Mengendap
Ngeplak,Tampar
Ngerues,Memulas-mulas(Sakit Perut)
Ngeteri,Hantar
Nggandheng,Menggandeng
Nggenah,Nyata
Nggoroh,Bohong
Nggowo,Bawa
Ngguang,Buang
Ngguyu,Ketawa
Ngiler,Keluar Air Liur Basi
Ngisi,Isi
Ngising,Berak
Ngisor,Bawah
Ngolok-ngolok,Ungkit
Ngombe,Minum
Ngomong,Cakap
Ngompol,Kencing Malam
Ngoyak,Mengejar
Ngregelli,Cicir
Ngrewangi,Bantu/Tolong
Ngumpet,Sembunyi
Nguyuh,Kencing
Nimbrung,Masuk Campur
Njaluk,Minta
Njambal,Makan Sedikit-sedikit/Ratah
Njarak,Sengaja
Njegong,Duduk
Nombok,Tumbuk
Nompo,Terima
Nongkrong,Nongkrong
Nothok,Sekel Kepala
Nothol,Patuk
Nuroni,Tiduri
Nyadong,Menadah Tangan
Nyambut,Sambut
Nyaplok,Makan
Nyelang,Pinjam
Nyelem,Menyelam
Nyeleng,Menabung
Nyemplung,Masuk Ke Dalam Air
Nyokot,Gigit
Nyolong,Mencuri
Nyonggrok,Menjolok
Nyonyot,Hisap
Nyumbang,Menyumbang
Nyumbang,Menyumbang
Nyungir,Bibir Bengkak
obah (tk),bergerak
obok-obok (tk),aduk-aduk menggunakan tangan ( biasanya ke air )
obong (tk),bakar
obor (ta),obor
oceh (tk),cakap
ogak (ts),goyang (untuk gigi)
ombak (ta),ombak
ombe (tk),minum
omben-omben (ta),minuman
omber (ts),luas
ombyok (tw),"ikatan besar (untuk sayuran, buah- buahan, dsb.)"
omong (tk),cakap
ompol (ta),air kencing yang dikeluarkan dalam tidur
opak (ta),kerupuk dari umbi-umbian
ora (tkr),tidak
orak-arik (ta),masakan dari telur
orat-arit (tk),berantakan
osik (ta),gerak
"owah (tk, ts)",berubah
owah (ts),gila
oyok (tk),rebut
oyot (ta),akar
Padang,Terang
Pager,Pagar
Pakan,Makanan
Palang,Jangan
Palis,Selisih/Dijauhkan
Paman,Paman; pakcik
Pancah,Tebas
Pancal,Langgar
Pandes,Rata
Panggah,Tetap
Pangkon,Pangkuan
Panin,Menuai (Padi)
Pantes,Elok
Pantheng,Lihat
Pantheng,Tegang
Papak,Rata
Papat,Empat
Parani,Jemput
Paroh,Bagi Dua
Pas-passan,Cukup-cukup
Pateni,Matikan
Pathak,Kepala
Pating,Sedang
Payah,Susah
Pedes,Pedas
Pedot,Putus
Pegat,Cerai
Pegel,Geram/Marah
Pejuh,Air Mani
Peket,Pekat
Pelem,Mempelam; mangga
Peli,Penis
Pelirik'ei,Jeling
Pelo,Empedal
Pencot,Pijak
Pendak,Kali Kedua
Penggik,Ramping
Pengkor,Timpang
Penthelik'ei,Beliakkan Mata (Memarahi)
Penthil,Putik; puting
Penthol,Ketua
Penthong,Pukul
Penyak,Pijak
Penyok,Penyok
Peppek,Tumbuh Bulu (Burung)
Peppet,Rapat
Perawan,Anak Dara
Perot,Baju Panas
Peteng,Gelap
Pethil,Tanggal
Pethuk,Jumpa
Peyang,Botak
Picek,Buta
Pijo,Pijar
Pilek,Selsema
Piloni,Ikutkan
Pindo,Kali Kedua
Pirang-pirang,Banyak Sekali
Piring,Pinggan
Piro,Berapa
Pithek,Pijak
Pithes,Lenyek Dengan Kuku
Pitu,Tujuh
Plek-plek,Iras-iras
Podo,Sama
Pohtol,Tanggal/Cabut
Popok,Lampin
Poro,Para
Pothes,Patah
Poyok,Ajuk/Ejek
Preges,Gondol(Daun)
Primpen,Simpan
Pring;Pering,Buluh
Pulen,Empuk
Pumpung,Sementara
Pupu,Paha
Puput,Tanggal Tali Pusat
Puputan,Kenduri Untuk Bayi
Putu,Cucu
susu,payudara
ubaramp� (ta),perlengkapan
ucek (tk),"gosok-gosokkan (mata, cucian)"
uceng (ta),jenis ikan sungai
"ucul (tk, ts)",terlepas
udakara (tpy),"kira-kira, kurang lebih"
udal-udal (tk),membongkar
udan (ta),hujan
udani (tk),telanjangi
udel (ta),pusar
udheng (ta),ikat kepala
udi (tk),ajar; pelajari
udud (ta; tk),rokok; merokok
udun (ta),bisul
udur (tk),berdebat
uga (tkr),juga
ugal-ugalan (tkr),bertindak tanpa mengindahkan aturan
ugel-ugel (ta),pergelangan tangan
uger-uger(ta),kusen
uget-uget (ta),larva
ugi (tkr),juga
ugungan (ts),senang dipuji
uja (tk),penuhi segala keinginan
ujar (ta),perkataan
ujub (tk),laksanakan
ujur (ta),membujur
ukara (ta),kalimat
ukir (tk),ukir
ula (ta),ular
ular-ular (ta),petuah
ulem (tk),undang
uleng-ulengan,berguling-guling
uler (ta),ulat
ules (ta),warna (untuk binatang)
ulet (ts),liat
ulu (tk),telan
ulung (tk),serah
uman (tk),kebagian
umbar (tk),biarkan/ lepaskan
umbel (ta),ingus
umbul (ta),gambar
umbul (ta),mata air
umbul-umbul (ta),bendera
umek (ts),tidak bisa diam
umik-umik (tk),komat-kamit
umob (ts),didih
umpak (ta),alas tiang
umplung (ta),kaleng
umum (tk),umum
umur (ta),umur
umyek (tk),sibuk sendiri
undamana (tk),maki-maki
undang (tk),panggil
under (tkr),"pusat, inti"
undha (tk),terbangkan (untuk layang-layang)
undha-undhi (tks),"sama saja, selisih usianya sedikit"
undhuh (tk),petik/tuai
undur (tk),gerak ke belakang
undur-undur (ta),nama serangga
uni (ta),"bunyi, suara"
unjuk (tk),geser naik
unjuk (tk),minum
unta (ta),onta
untab (tk),temani saat-saat keberangkatan
untal (tk),telan semuanya
untel-untel (tk),berbuntal-buntal
unthuk (ta),busa
unting (tk),ikat segepok
untir (tk),pelintir
untu (ta),gigi
untup-untup (tk),muncul sedikit
upama (tpy),umpama
upaya (ta),upaya
ura-ura (tk),bernyanyi
urik (ts),curang
"urip (tk,ts)",hidup
usada (ta),obat
usir (tk),usir
usus (ta),usus
usus-usus (ta),tali kolor
utang (ta),hutang
uwa (tg),sebutan untuk kakak ayah/ibu
uwal (tkr),terlepas dari ikatan (untuk manusia)
uwan (ta),uban
uwang (ta),rahang bawah
uwi (ta),talas
uyuh,air seni
uyup,"hirup (untuk cairan, mis. kuah sayur)"
waca (tk),baca
wacana (ta),"wacana, diskursus"
wadal (ta),tumbal
wadanan (ta),julukan
wadas (ta),cadas
wadat (tkr),tidak menikah
wadhag (ta),jasmani
wadhah (ta),tempat
wadhang (ts),masakan kemarin (untuk nasi)
wadhuk (ta),bendungan
wadhuk (ta),perut
wadi (ta),rahasia
wadon (ts),perempuan
wadul (tk),mengadu
wag� (tg),nama pasaran
wagu (ts),janggal
waja (ta),baja
waja (ta),gigi
wajan (ta),kuali
wajik (ta),nama jajanan terbuat dari ketan
wajik (ts),jajaran genjang
walanda (tg),belanda
walandi (tg),belalang
walang (ta),belalang
wal�h (tkr),bosan
wales (tk),balas
walesan (ta),gagang pancing
wali (ta),wali
walik (ta),balik
waluh (ta),labu
waluya (ts),sehat
wana (ta),hutan
wanadri (ta),hutan rimba
wanara (ta),kera
wanci (ta),waktu
wanda (ta),badan
wanda (ta),suku kata
wand�; wand� (ta),warung
wandu (ts),banci
wangi (ts),harum
wangsit (ta),wahyu
wangun (ta),bentuk
wangwung (ta),kumbang
wani (ts),berani
wanita (ta),wanita
wanodya (ta),wanita
wanti-wanti (tk),berpesan dengan sangat
wanuh (tk),"tahu, kenal"
waos (ta),gigi
waos (tk),baca
warah (tk),tunjuk/ajar
warak (ta),badak
warangan (ta),racun (biasanya dipakai untuk melumuri keris)
waranggana (ta),penyanyi (dengan iringan gamelan)
warangka (ta),"kerangka, sarung keris"
waras (ts),sehat
wara-wara (ta),pengumuman
wareg (ts),kenyang
war�ng (tg),keturunan ke 5
warga (ta),warga
wargi; wargi (ta),warga
warih (ta),banyu
waringuten (tkr),kewalahan
waris (ta),waris
warna (ta),warna
warok (ta),"orang berilmu (daerah Madiun, Ponorogo, Tenggalek dan sekitarnya)"
warsa (ta),tahun
warta (ta),berita
warung (ta),warung
wasis (ta),pandai
waskitha (ts),waspada
waspa (ta),air mata
waspada (ts),waspada
wastani (tk),"kira, sangka; namakan, sebut"
wastra (ta),laut
watak (ta),watak
watara (tkr),kira-kira
watek (ta),watak
wates (ta),batas
waton (tkr),asal-asalan; asalkan
watu (ta),batu
wau (tg),tadi
wawacan (ta),bacaan
wawansabda (tk),bercakap-cakap
wawas (tk),"pikir, timbang"
wawasan (ta),"pikiran, pertimbangan"
wayah (ta),cucu
wayah (ta),masa/waktu
wayang (ta),wayang
wayu (ts),basi
wayuh (tk),diduakan (oleh suami)
w� (ta),air
w�dang (ta),air matang
w�dang (ta),minuman hangat
wedhak (ta),bedak
wedhar (tk),"urai, bahas"
wedhi (ta),pasir
w�dhok (ts),perempuan
wedhon (t,hantu sawah
wedi (ts),takut
wedus (ta),kambing
wegah (ts),enggan
wekas (ta),pesan
wekasan (ta),akhir
wekdal; wekdal (ta),waktu
wektu (ta),waktu
"welas (ta, tk)",rasa kasihan; merasa kasihan
wel�h (tk),balasan setimpal
weling (ta),pesan
weling (ta),ular belang
wenang (ts),"berwenang, berhak"
"wengi (tkr, tkr)",malam
wengku (tk),"memangku, menikahi (pria menikahi wanita)"
wening (ts),bening
wentis (ta),betis
werdi (ta),arti
werna (ta),"warna, jenis"
weruh (tk),"nampak, tahu"
wesi (ta),besi
w�t (ta),hukum
wetah ; wetah (ts),utuh
w�tan (tg),timur
weteng (ta),perut
weton (ta),hari kelahiran
wetu (tk),keluar
wewaler (ta),pantangan
w�w� (ta),hantu perempuan
w�w�h (tk),memberi
wewengkon (ta),"daerah kekuasaan, wilayah"
widada (ts),selamat
widadara/i (ta),bidadari laki-laki/perempuan
wigati (ts),penting
wiji (ta),biji; benih
wijik (tk),mencuci tangan
wilang (tk),hitung
wilangan (ta),bilangan
wilujeng (tkr),selamat
winarah (tk),terjadi
winengku (tk),disunting; diperistri
wing�nan� (tg),dua hari yang lalu
wingi (tg),kemarin
wingit (ts),angker
wingking; wingking (tkr),belakang
winih (ta),benih
winisuda (tk),diwisuda
wirama (ta),irama
wirang (ts),malu
wirid (ta),kata atau kalimat pujian kepada Allah yang dibaca berulang-ulang
wiridan (ta),pembacaan wirid
wiring galih (ta),hitam (ayam jago)
wiron (ta),bagian dari kain panjang yang dilipat memanjang bersusun yang akan diletakkan di bagian terluar di depan pada saat kain panjang dikenakan
wiru (tk),melipat bagian tepi kain panjang menjadi lipatan-lipatan kecil memanjang bersusun
wis (tkr),sudah
wisa (ta),"bisa, racun"
wisik (ta),"bisikan, wahyu"
wisma (ta),rumah
wisuda (tk),wisuda
wisuh (tk),basuh tangan/kaki
wit (ta),pohon
witikna (tpy),salah sendiri; mengapa pula
wiwit (tk),mulai
wond�n� (tpy),sedangkan
wong (ta),orang
wos (ta),arti
wos; wos (ta),beras
wot (ta),jembatan
wrangka (ta),sarung keris
wr� (ta),kera
wr�da (ta),yua
wucal; wucal,ajar
wuda (tkr),telanjang
wudhar (tk),terurai
wudun (ta),bisul
wukir (ta),gunung
wulang,ajar
wulu (ta),bulu
wulung (ta),elang
wulung (ts),ungu tua
wungkuk (ts),bongkok
wungu (ts),ungu
wungu: wungu (tk),bangun
wuninga (ts),tahu
wuri (tkr),belakang
wuruk (tk),tunjuk/ajar
wurung (tkr),batal
wus (tkr),sudah
wusana,"akhir, kejadian"
wuta (ts),buta
wutah (tk),tumpah
wutuh (ts),utuh
wuwuh (tk),tambah
wuwung (ta),bubungan atap
wuwus (ta),"bicara, kata-kata"
wuyung (ts),kasmaran
yaksa (ta),raksasa
yamadipati (tg),dewa kematian
yasa (tk),membuat
yatra (ta),uang
yayah (ta),ayah
yayi (tg),adik
yekti  (ts),sungguh; benar
y�n (tpy),"bila, jika"
yuswa (ta),umur
yuta (tw),juta
yuwana (ts),selamat
yuyu (ta),kepiting sungai
telo(kb),ubi
saru,tabu
turu,mengantuk
wes,udah
opo,apa
urung,belum
"awakmu, sampean, koe",kamu
uwong,orang
"lek, sak umpomo",kalo
matursuwun,terimakasih
suwi,lama
sek,masih
engko,nanti
disek,dulu
